Order_ID,Order_Date,Month,Month_Num,City,Customer_Segment,Cuisine_Type,Order_Value,Discount_Pct,Discount_Amount,Revenue,Delivery_Cost,Ops_Cost,Total_Cost,Profit,Profit_Margin_Pct,Delivery_Time_Mins,Customer_Rating,Is_Repeat_Customer,Has_Online_Delivery,Restaurant_Type
ORD10015,2023-07-05,July,7,Delhi,Regular,Continental,402.0,22.3,90.0,312.0,69.0,72.0,231.0,171.0,54.8,33.0,3.4,0,Yes,Continental
ORD10016,2023-02-26,February,2,Bangalore,Budget,North Indian,299.0,13.8,41.0,258.0,89.0,54.0,184.0,115.0,44.6,43.0,4.1,1,Yes,North Indian
ORD10017,2023-07-15,July,7,Hyderabad,Regular,Continental,486.0,27.9,136.0,350.0,47.0,87.0,270.0,216.0,61.7,46.0,4.3,0,Yes,Continental
ORD10018,2023-12-15,December,12,Delhi,Regular,North Indian,446.0,37.3,166.0,280.0,95.0,80.0,341.0,105.0,37.5,18.0,4.4,0,Yes,North Indian
ORD10019,2023-02-27,February,2,Bangalore,Budget,Biryani,255.0,15.9,41.0,214.0,65.0,46.0,152.0,103.0,48.1,45.0,2.9,1,Yes,Biryani
ORD10020,2023-09-14,September,9,Mumbai,Regular,Pizza,428.0,33.4,143.0,285.0,83.0,77.0,303.0,125.0,43.9,59.0,3.2,0,Yes,Pizza
ORD10021,2023-03-20,March,3,Mumbai,Regular,Fast Food,369.0,18.6,69.0,300.0,70.0,66.0,205.0,164.0,54.7,54.0,3.6,1,Yes,Fast Food
ORD10022,2023-11-03,November,11,Jaipur,Premium,North Indian,721.0,29.9,215.0,506.0,53.0,130.0,398.0,323.0,63.8,43.0,4.1,1,Yes,North Indian
ORD10023,2023-05-03,May,5,Ahmedabad,Premium,Pizza,695.0,16.9,117.0,578.0,43.0,125.0,285.0,410.0,70.9,38.0,3.2,0,Yes,Pizza
ORD10024,2023-02-05,February,2,Jaipur,Budget,Desserts,268.0,26.2,70.0,198.0,49.0,48.0,167.0,101.0,51.0,42.0,3.6,0,Yes,Desserts
ORD10025,2023-05-16,May,5,Mumbai,Regular,Chinese,308.0,23.9,74.0,234.0,72.0,55.0,201.0,107.0,45.7,41.0,3.4,0,Yes,Chinese
ORD10026,2023-06-09,June,6,Jaipur,Premium,Fast Food,776.0,23.5,182.0,594.0,51.0,140.0,373.0,403.0,67.8,61.0,3.5,0,Yes,Fast Food
ORD10027,2023-03-03,March,3,Delhi,Premium,Desserts,839.0,16.7,140.0,699.0,71.0,151.0,362.0,477.0,68.2,25.0,3.9,1,Yes,Desserts
ORD10028,2023-01-04,January,1,Mumbai,Regular,Fast Food,456.0,11.1,50.0,406.0,115.0,82.0,247.0,209.0,51.5,43.0,3.8,0,Yes,Fast Food
ORD10029,2023-02-06,February,2,Delhi,Premium,Biryani,795.0,19.2,153.0,642.0,54.0,143.0,350.0,445.0,69.3,55.0,3.8,1,Yes,Biryani
ORD10030,2023-05-05,May,5,Bangalore,Regular,Desserts,529.0,27.8,147.0,382.0,55.0,95.0,297.0,232.0,60.7,58.0,2.9,0,Yes,Desserts
ORD10031,2023-07-01,July,7,Mumbai,Budget,Continental,285.0,25.4,72.0,213.0,111.0,51.0,234.0,51.0,23.9,35.0,3.6,0,Yes,Continental
ORD10032,2023-02-01,February,2,Hyderabad,Regular,South Indian,460.0,17.5,81.0,379.0,49.0,83.0,213.0,247.0,65.2,27.0,3.9,1,Yes,South Indian
ORD10033,2023-10-02,October,10,Kolkata,Budget,Fast Food,186.0,30.2,56.0,130.0,58.0,33.0,147.0,39.0,30.0,33.0,4.4,0,Yes,Fast Food
ORD10034,2023-08-15,August,8,Delhi,Budget,South Indian,203.0,32.6,66.0,137.0,67.0,37.0,170.0,33.0,24.1,52.0,3.1,0,Yes,South Indian
ORD10035,2023-02-17,February,2,Mumbai,Regular,North Indian,473.0,25.4,120.0,353.0,98.0,85.0,303.0,170.0,48.2,28.0,4.0,0,Yes,North Indian
ORD10036,2023-07-25,July,7,Mumbai,Regular,Fast Food,476.0,32.5,155.0,321.0,90.0,86.0,331.0,145.0,45.2,32.0,3.3,1,Yes,Fast Food
ORD10037,2023-05-27,May,5,Mumbai,Budget,Desserts,281.0,22.3,63.0,218.0,82.0,51.0,196.0,85.0,39.0,47.0,3.8,0,Yes,Desserts
ORD10038,2023-03-21,March,3,Surat,Regular,Desserts,382.0,15.8,61.0,321.0,45.0,69.0,175.0,207.0,64.5,44.0,3.4,1,Yes,Desserts
ORD10039,2023-06-10,June,6,Mumbai,Regular,North Indian,637.0,18.4,117.0,520.0,85.0,115.0,317.0,320.0,61.5,33.0,4.1,0,Yes,North Indian
ORD10040,2023-01-30,January,1,Bangalore,Premium,Chinese,654.0,24.4,160.0,494.0,81.0,118.0,359.0,295.0,59.7,55.0,3.2,1,Yes,Chinese
ORD10041,2023-07-26,July,7,Mumbai,Regular,Fast Food,546.0,20.8,114.0,432.0,84.0,98.0,296.0,250.0,57.9,53.0,4.3,0,Yes,Fast Food
ORD10042,2023-08-03,August,8,Delhi,Regular,South Indian,425.0,30.4,129.0,296.0,61.0,76.0,266.0,159.0,53.7,35.0,3.5,0,Yes,South Indian
ORD10043,2023-05-03,May,5,Delhi,Budget,Biryani,245.0,20.0,49.0,196.0,77.0,44.0,170.0,75.0,38.3,47.0,4.0,1,Yes,Biryani
ORD10044,2023-01-05,January,1,Pune,Regular,South Indian,451.0,16.9,76.0,375.0,82.0,81.0,239.0,212.0,56.5,40.0,4.8,0,Yes,South Indian
ORD10045,2023-09-17,September,9,Surat,Budget,Fast Food,288.0,26.0,75.0,213.0,30.0,52.0,157.0,131.0,61.5,31.0,4.1,0,Yes,Fast Food
ORD10046,2023-05-26,May,5,Kolkata,Premium,Biryani,766.0,18.4,141.0,625.0,62.0,138.0,341.0,425.0,68.0,47.0,3.6,0,Yes,Biryani
ORD10047,2023-12-08,December,12,Hyderabad,Regular,North Indian,365.0,38.8,141.0,224.0,34.0,66.0,241.0,124.0,55.4,38.0,4.1,1,Yes,North Indian
ORD10048,2023-05-16,May,5,Pune,Premium,Chinese,832.0,17.7,148.0,684.0,41.0,150.0,339.0,493.0,72.1,45.0,3.8,1,Yes,Chinese
ORD10049,2023-06-25,June,6,Bangalore,Budget,Fast Food,197.0,20.6,40.0,157.0,71.0,35.0,146.0,51.0,32.5,44.0,3.2,0,Yes,Fast Food
ORD10050,2023-02-17,February,2,Delhi,Regular,North Indian,486.0,21.0,102.0,384.0,80.0,87.0,269.0,217.0,56.5,55.0,3.9,0,Yes,North Indian
ORD10051,2023-11-23,November,11,Mumbai,Budget,Chinese,167.0,39.7,66.0,101.0,64.0,30.0,160.0,7.0,6.9,50.0,3.8,1,Yes,Chinese
ORD10052,2023-02-27,February,2,Bangalore,Regular,North Indian,502.0,12.6,63.0,439.0,127.0,90.0,280.0,222.0,50.6,49.0,4.0,0,Yes,North Indian
ORD10053,2023-10-26,October,10,Ahmedabad,Regular,Biryani,545.0,31.8,173.0,372.0,58.0,98.0,329.0,216.0,58.1,39.0,4.0,1,Yes,Biryani
ORD10054,2023-07-03,July,7,Mumbai,Budget,North Indian,204.0,22.2,45.0,159.0,74.0,37.0,156.0,48.0,30.2,40.0,3.8,1,Yes,North Indian
ORD10055,2023-11-14,November,11,Mumbai,Regular,Continental,681.0,36.2,247.0,434.0,50.0,123.0,420.0,261.0,60.1,51.0,2.9,0,Yes,Continental
ORD10056,2023-07-31,July,7,Delhi,Budget,Chinese,222.0,19.4,43.0,179.0,88.0,40.0,171.0,51.0,28.5,45.0,3.2,0,Yes,Chinese
ORD10057,2023-05-17,May,5,Delhi,Premium,Fast Food,693.0,18.4,127.0,566.0,82.0,125.0,334.0,359.0,63.4,37.0,3.9,0,Yes,Fast Food
ORD10058,2023-04-24,April,4,Delhi,Budget,Desserts,253.0,17.5,44.0,209.0,62.0,46.0,152.0,101.0,48.3,65.0,3.6,0,Yes,Desserts
ORD10059,2023-04-25,April,4,Delhi,Premium,Fast Food,496.0,14.9,74.0,422.0,75.0,89.0,238.0,258.0,61.1,37.0,4.1,1,Yes,Fast Food
ORD10060,2023-06-29,June,6,Delhi,Premium,Pizza,681.0,27.1,185.0,496.0,70.0,123.0,378.0,303.0,61.1,49.0,3.9,1,Yes,Pizza
ORD10061,2023-03-01,March,3,Surat,Regular,North Indian,330.0,26.2,86.0,244.0,37.0,59.0,182.0,148.0,60.7,37.0,3.5,1,Yes,North Indian
ORD10062,2023-02-25,February,2,Pune,Premium,North Indian,1065.0,20.4,218.0,847.0,66.0,192.0,476.0,589.0,69.5,30.0,4.2,1,Yes,North Indian
ORD10063,2023-07-17,July,7,Chennai,Regular,South Indian,662.0,32.5,215.0,447.0,69.0,119.0,403.0,259.0,57.9,27.0,3.7,1,Yes,South Indian
ORD10064,2023-07-06,July,7,Mumbai,Regular,Fast Food,577.0,25.5,147.0,430.0,67.0,104.0,318.0,259.0,60.2,49.0,3.9,0,Yes,Fast Food
ORD10065,2023-06-03,June,6,Ahmedabad,Regular,South Indian,357.0,25.1,90.0,267.0,47.0,64.0,201.0,156.0,58.4,15.0,3.7,0,Yes,South Indian
ORD10066,2023-04-09,April,4,Delhi,Regular,Chinese,425.0,20.8,88.0,337.0,53.0,76.0,217.0,208.0,61.7,60.0,2.9,0,Yes,Chinese
ORD10067,2023-07-27,July,7,Hyderabad,Premium,Pizza,734.0,27.2,200.0,534.0,59.0,132.0,391.0,343.0,64.2,57.0,2.9,1,Yes,Pizza
ORD10068,2023-08-27,August,8,Delhi,Regular,Biryani,566.0,27.1,154.0,412.0,72.0,102.0,328.0,238.0,57.8,34.0,4.0,0,Yes,Biryani
ORD10069,2023-12-04,December,12,Bangalore,Regular,Chinese,470.0,27.8,131.0,339.0,60.0,85.0,276.0,194.0,57.2,44.0,3.5,0,Yes,Chinese
ORD10070,2023-12-11,December,12,Pune,Budget,Fast Food,257.0,31.2,80.0,177.0,70.0,46.0,196.0,61.0,34.5,59.0,2.9,0,Yes,Fast Food
ORD10071,2023-11-09,November,11,Mumbai,Budget,Desserts,378.0,37.7,143.0,235.0,49.0,68.0,260.0,118.0,50.2,43.0,3.9,1,Yes,Desserts
ORD10072,2023-12-23,December,12,Delhi,Regular,Fast Food,478.0,32.3,154.0,324.0,63.0,86.0,303.0,175.0,54.0,42.0,3.5,1,Yes,Fast Food
ORD10073,2023-08-06,August,8,Mumbai,Regular,South Indian,391.0,23.8,93.0,298.0,91.0,70.0,254.0,137.0,46.0,48.0,3.3,0,Yes,South Indian
ORD10074,2023-03-04,March,3,Hyderabad,Regular,Fast Food,540.0,19.8,107.0,433.0,62.0,97.0,266.0,274.0,63.3,51.0,3.8,0,Yes,Fast Food
ORD10075,2023-08-15,August,8,Pune,Premium,Biryani,676.0,29.7,201.0,475.0,52.0,122.0,375.0,301.0,63.4,50.0,3.8,0,Yes,Biryani
ORD10076,2023-03-23,March,3,Bangalore,Premium,Desserts,797.0,24.2,193.0,604.0,71.0,143.0,407.0,390.0,64.6,57.0,3.2,1,Yes,Desserts
ORD10077,2023-09-24,September,9,Delhi,Budget,Pizza,283.0,29.3,83.0,200.0,69.0,51.0,203.0,80.0,40.0,42.0,4.1,1,Yes,Pizza
ORD10078,2023-05-20,May,5,Bangalore,Regular,Fast Food,533.0,21.0,112.0,421.0,81.0,96.0,289.0,244.0,58.0,57.0,3.5,0,Yes,Fast Food
ORD10079,2023-12-22,December,12,Mumbai,Budget,Continental,291.0,28.8,84.0,207.0,73.0,52.0,209.0,82.0,39.6,48.0,3.6,1,Yes,Continental
ORD10080,2023-08-01,August,8,Delhi,Budget,Desserts,256.0,21.4,55.0,201.0,81.0,46.0,182.0,74.0,36.8,36.0,4.6,0,Yes,Desserts
ORD10081,2023-10-22,October,10,Delhi,Regular,North Indian,349.0,29.2,102.0,247.0,54.0,63.0,219.0,130.0,52.6,56.0,3.8,1,Yes,North Indian
ORD10082,2023-10-03,October,10,Delhi,Regular,Continental,512.0,34.7,178.0,334.0,81.0,92.0,351.0,161.0,48.2,44.0,3.3,0,Yes,Continental
ORD10083,2023-05-20,May,5,Pune,Budget,Fast Food,255.0,22.5,57.0,198.0,50.0,46.0,153.0,102.0,51.5,53.0,3.5,1,Yes,Fast Food
ORD10084,2023-03-26,March,3,Delhi,Regular,Continental,367.0,25.6,94.0,273.0,67.0,66.0,227.0,140.0,51.3,48.0,3.4,0,Yes,Continental
ORD10085,2023-10-31,October,10,Surat,Regular,Continental,368.0,32.0,118.0,250.0,46.0,66.0,230.0,138.0,55.2,44.0,3.5,1,Yes,Continental
ORD10086,2023-04-04,April,4,Pune,Budget,Desserts,222.0,15.3,34.0,188.0,63.0,40.0,137.0,85.0,45.2,29.0,3.3,0,Yes,Desserts
ORD10087,2023-05-23,May,5,Mumbai,Budget,Continental,207.0,27.3,56.0,151.0,75.0,37.0,168.0,39.0,25.8,48.0,4.2,0,Yes,Continental
ORD10088,2023-10-04,October,10,Delhi,Budget,North Indian,301.0,24.3,73.0,228.0,70.0,54.0,197.0,104.0,45.6,44.0,3.3,0,Yes,North Indian
ORD10089,2023-01-16,January,1,Delhi,Budget,North Indian,249.0,24.2,60.0,189.0,68.0,45.0,173.0,76.0,40.2,47.0,3.3,1,Yes,North Indian
ORD10090,2023-08-31,August,8,Mumbai,Budget,Chinese,281.0,30.5,86.0,195.0,101.0,51.0,238.0,43.0,22.1,43.0,3.8,0,Yes,Chinese
ORD10091,2023-03-27,March,3,Mumbai,Regular,Biryani,519.0,22.1,115.0,404.0,72.0,93.0,280.0,239.0,59.2,47.0,3.6,0,Yes,Biryani
ORD10092,2023-06-09,June,6,Hyderabad,Regular,Chinese,460.0,19.1,88.0,372.0,45.0,83.0,216.0,244.0,65.6,43.0,3.9,1,Yes,Chinese
ORD10093,2023-07-23,July,7,Delhi,Regular,Continental,595.0,33.1,197.0,398.0,86.0,107.0,390.0,205.0,51.5,66.0,3.0,1,Yes,Continental
ORD10094,2023-02-22,February,2,Pune,Premium,Fast Food,931.0,22.0,204.0,727.0,63.0,168.0,435.0,496.0,68.2,65.0,3.0,1,Yes,Fast Food
ORD10095,2023-06-27,June,6,Hyderabad,Premium,North Indian,674.0,25.5,172.0,502.0,48.0,121.0,341.0,333.0,66.3,22.0,3.8,0,Yes,North Indian
ORD10096,2023-08-04,August,8,Mumbai,Regular,North Indian,374.0,32.8,123.0,251.0,80.0,67.0,270.0,104.0,41.4,48.0,4.4,1,Yes,North Indian
ORD10097,2023-12-29,December,12,Jaipur,Regular,Desserts,545.0,28.8,157.0,388.0,36.0,98.0,291.0,254.0,65.5,33.0,4.0,1,Yes,Desserts
ORD10098,2023-08-27,August,8,Bangalore,Regular,Desserts,318.0,27.0,86.0,232.0,96.0,57.0,239.0,79.0,34.1,56.0,3.3,0,Yes,Desserts
ORD10099,2023-05-23,May,5,Delhi,Premium,South Indian,543.0,29.2,159.0,384.0,92.0,98.0,349.0,194.0,50.5,43.0,4.2,1,Yes,South Indian
ORD10100,2023-06-22,June,6,Bangalore,Regular,Continental,291.0,17.9,52.0,239.0,60.0,52.0,164.0,127.0,53.1,44.0,3.7,0,Yes,Continental
ORD10101,2023-06-24,June,6,Mumbai,Budget,Pizza,223.0,21.7,48.0,175.0,87.0,40.0,175.0,48.0,27.4,34.0,3.8,0,Yes,Pizza
ORD10102,2023-02-13,February,2,Kolkata,Regular,Fast Food,462.0,15.1,70.0,392.0,59.0,83.0,212.0,250.0,63.8,49.0,3.1,1,Yes,Fast Food
ORD10103,2023-11-27,November,11,Bangalore,Budget,Desserts,158.0,35.7,56.0,102.0,88.0,28.0,172.0,-14.0,-13.7,47.0,3.3,0,Yes,Desserts
ORD10104,2023-12-21,December,12,Mumbai,Budget,Continental,343.0,30.1,103.0,240.0,80.0,62.0,245.0,98.0,40.8,56.0,3.5,0,Yes,Continental
ORD10105,2023-08-06,August,8,Delhi,Regular,Biryani,656.0,35.4,233.0,423.0,98.0,118.0,449.0,207.0,48.9,42.0,4.1,0,Yes,Biryani
ORD10106,2023-05-09,May,5,Delhi,Regular,Pizza,515.0,19.5,100.0,415.0,93.0,93.0,286.0,229.0,55.2,34.0,4.1,0,Yes,Pizza
ORD10107,2023-04-09,April,4,Delhi,Regular,Chinese,556.0,17.7,99.0,457.0,46.0,100.0,245.0,311.0,68.1,32.0,3.0,0,Yes,Chinese
ORD10108,2023-02-21,February,2,Hyderabad,Premium,Pizza,760.0,24.0,182.0,578.0,68.0,137.0,387.0,373.0,64.5,58.0,3.5,1,Yes,Pizza
ORD10109,2023-05-21,May,5,Delhi,Budget,Chinese,348.0,16.7,58.0,290.0,51.0,63.0,172.0,176.0,60.7,27.0,3.9,1,Yes,Chinese
ORD10110,2023-02-22,February,2,Delhi,Premium,Desserts,858.0,24.6,211.0,647.0,72.0,154.0,437.0,421.0,65.1,23.0,3.9,1,Yes,Desserts
ORD10111,2023-01-27,January,1,Bangalore,Regular,Chinese,320.0,13.8,44.0,276.0,79.0,58.0,181.0,139.0,50.4,47.0,3.2,0,Yes,Chinese
ORD10112,2023-02-07,February,2,Mumbai,Budget,Desserts,219.0,20.2,44.0,175.0,62.0,39.0,145.0,74.0,42.3,44.0,4.0,0,Yes,Desserts
ORD10113,2023-02-13,February,2,Mumbai,Premium,Pizza,652.0,26.4,172.0,480.0,86.0,117.0,375.0,277.0,57.7,39.0,3.4,1,Yes,Pizza
ORD10114,2023-09-25,September,9,Chennai,Regular,Fast Food,439.0,27.7,122.0,317.0,38.0,79.0,239.0,200.0,63.1,37.0,3.3,0,Yes,Fast Food
ORD10115,2023-06-06,June,6,Delhi,Regular,Continental,646.0,26.0,168.0,478.0,73.0,116.0,357.0,289.0,60.5,37.0,3.9,1,Yes,Continental
ORD10116,2023-11-17,November,11,Jaipur,Budget,Fast Food,243.0,28.2,68.0,175.0,42.0,44.0,154.0,89.0,50.9,48.0,3.9,0,Yes,Fast Food
ORD10117,2023-03-22,March,3,Mumbai,Budget,South Indian,218.0,13.0,28.0,190.0,69.0,39.0,136.0,82.0,43.2,42.0,2.8,0,Yes,South Indian
ORD10118,2023-05-28,May,5,Pune,Budget,Fast Food,159.0,26.6,42.0,117.0,81.0,29.0,152.0,7.0,6.0,59.0,3.3,0,Yes,Fast Food
ORD10119,2023-11-17,November,11,Bangalore,Regular,Pizza,508.0,33.8,172.0,336.0,74.0,91.0,337.0,171.0,50.9,75.0,3.6,0,Yes,Pizza
ORD10120,2023-11-28,November,11,Mumbai,Budget,Fast Food,242.0,27.2,66.0,176.0,64.0,44.0,174.0,68.0,38.6,28.0,4.0,0,Yes,Fast Food
ORD10121,2023-11-01,November,11,Mumbai,Budget,Pizza,205.0,36.2,74.0,131.0,57.0,37.0,168.0,37.0,28.2,38.0,3.3,0,Yes,Pizza
ORD10122,2023-12-25,December,12,Delhi,Budget,Pizza,351.0,32.5,114.0,237.0,85.0,63.0,262.0,89.0,37.6,44.0,4.3,0,Yes,Pizza
ORD10123,2023-08-10,August,8,Bangalore,Regular,North Indian,458.0,31.5,144.0,314.0,56.0,82.0,282.0,176.0,56.1,59.0,3.7,0,Yes,North Indian
ORD10124,2023-12-11,December,12,Mumbai,Budget,North Indian,188.0,38.8,73.0,115.0,75.0,34.0,182.0,6.0,5.2,36.0,3.2,0,Yes,North Indian
ORD10125,2023-05-23,May,5,Chennai,Budget,Desserts,306.0,18.7,57.0,249.0,83.0,55.0,195.0,111.0,44.6,29.0,4.1,0,Yes,Desserts
ORD10126,2023-08-29,August,8,Pune,Regular,South Indian,385.0,25.7,99.0,286.0,53.0,69.0,221.0,164.0,57.3,37.0,3.4,1,Yes,South Indian
ORD10127,2023-07-30,July,7,Hyderabad,Premium,Biryani,807.0,29.4,237.0,570.0,45.0,145.0,427.0,380.0,66.7,45.0,3.6,1,Yes,Biryani
ORD10128,2023-08-21,August,8,Jaipur,Premium,North Indian,764.0,21.8,167.0,597.0,31.0,138.0,336.0,428.0,71.7,36.0,4.1,1,Yes,North Indian
ORD10129,2023-12-03,December,12,Mumbai,Regular,North Indian,500.0,39.5,198.0,302.0,63.0,90.0,351.0,149.0,49.3,45.0,4.0,0,Yes,North Indian
ORD10130,2023-11-17,November,11,Mumbai,Regular,Desserts,283.0,31.6,90.0,193.0,86.0,51.0,227.0,56.0,29.0,38.0,4.0,1,Yes,Desserts
ORD10131,2023-08-13,August,8,Delhi,Budget,Pizza,204.0,33.7,69.0,135.0,45.0,37.0,151.0,53.0,39.3,28.0,3.9,0,Yes,Pizza
ORD10132,2023-12-30,December,12,Mumbai,Regular,Fast Food,476.0,28.9,137.0,339.0,64.0,86.0,287.0,189.0,55.8,51.0,2.9,0,Yes,Fast Food
ORD10133,2023-08-25,August,8,Bangalore,Budget,South Indian,246.0,34.7,85.0,161.0,51.0,44.0,180.0,66.0,41.0,37.0,3.8,0,Yes,South Indian
ORD10134,2023-09-18,September,9,Mumbai,Premium,Pizza,671.0,32.6,219.0,452.0,72.0,121.0,412.0,259.0,57.3,55.0,3.3,1,Yes,Pizza
ORD10135,2023-10-10,October,10,Bangalore,Regular,Desserts,534.0,25.7,137.0,397.0,52.0,96.0,285.0,249.0,62.7,49.0,4.2,1,Yes,Desserts
ORD10136,2023-02-05,February,2,Pune,Regular,Chinese,203.0,15.6,32.0,171.0,48.0,37.0,117.0,86.0,50.3,49.0,3.5,0,Yes,Chinese
ORD10137,2023-01-02,January,1,Delhi,Premium,Pizza,856.0,14.2,122.0,734.0,63.0,154.0,339.0,517.0,70.4,45.0,3.6,1,Yes,Pizza
ORD10138,2023-03-18,March,3,Pune,Premium,Desserts,975.0,19.7,192.0,783.0,64.0,176.0,432.0,543.0,69.3,46.0,3.5,1,Yes,Desserts
ORD10139,2023-08-22,August,8,Delhi,Regular,Continental,401.0,34.5,138.0,263.0,66.0,72.0,276.0,125.0,47.5,48.0,3.4,0,Yes,Continental
ORD10140,2023-04-30,April,4,Surat,Budget,Continental,267.0,27.3,73.0,194.0,73.0,48.0,194.0,73.0,37.6,50.0,3.4,0,Yes,Continental
ORD10141,2023-07-17,July,7,Delhi,Regular,Continental,570.0,33.8,193.0,377.0,66.0,103.0,362.0,208.0,55.2,24.0,3.6,0,Yes,Continental
ORD10142,2023-03-06,March,3,Pune,Budget,North Indian,138.0,20.5,28.0,110.0,55.0,25.0,108.0,30.0,27.3,43.0,4.4,0,Yes,North Indian
ORD10143,2023-02-21,February,2,Kolkata,Premium,Desserts,849.0,19.4,165.0,684.0,48.0,153.0,366.0,483.0,70.6,51.0,2.7,1,Yes,Desserts
ORD10144,2023-02-08,February,2,Hyderabad,Regular,Chinese,474.0,18.5,88.0,386.0,69.0,85.0,242.0,232.0,60.1,28.0,4.4,0,Yes,Chinese
ORD10145,2023-06-18,June,6,Delhi,Regular,South Indian,484.0,30.3,147.0,337.0,66.0,87.0,300.0,184.0,54.6,50.0,4.5,0,Yes,South Indian
ORD10146,2023-10-05,October,10,Delhi,Budget,Desserts,261.0,24.0,63.0,198.0,76.0,47.0,186.0,75.0,37.9,39.0,3.4,1,Yes,Desserts
ORD10147,2023-02-16,February,2,Pune,Premium,Fast Food,925.0,18.0,167.0,758.0,47.0,166.0,380.0,545.0,71.9,44.0,3.5,1,Yes,Fast Food
ORD10148,2023-03-27,March,3,Pune,Premium,Desserts,872.0,23.4,204.0,668.0,65.0,157.0,426.0,446.0,66.8,53.0,3.3,0,Yes,Desserts
ORD10149,2023-07-03,July,7,Mumbai,Regular,Pizza,423.0,24.6,104.0,319.0,63.0,76.0,243.0,180.0,56.4,40.0,3.9,1,Yes,Pizza
ORD10150,2023-03-29,March,3,Bangalore,Regular,Chinese,526.0,15.6,82.0,444.0,55.0,95.0,232.0,294.0,66.2,52.0,4.1,0,Yes,Chinese
ORD10151,2023-10-26,October,10,Delhi,Regular,Desserts,491.0,25.6,126.0,365.0,100.0,88.0,314.0,177.0,48.5,36.0,3.3,0,Yes,Desserts
ORD10152,2023-08-27,August,8,Delhi,Budget,North Indian,143.0,34.0,49.0,94.0,94.0,26.0,169.0,-26.0,-27.7,51.0,3.5,0,Yes,North Indian
ORD10153,2023-10-28,October,10,Mumbai,Regular,Biryani,478.0,28.0,134.0,344.0,61.0,86.0,281.0,197.0,57.3,69.0,3.3,0,Yes,Biryani
ORD10154,2023-04-12,April,4,Hyderabad,Regular,Pizza,461.0,29.5,136.0,325.0,68.0,83.0,287.0,174.0,53.5,48.0,3.7,0,Yes,Pizza
ORD10155,2023-10-22,October,10,Mumbai,Budget,Biryani,203.0,27.9,57.0,146.0,85.0,37.0,179.0,24.0,16.4,63.0,3.9,0,Yes,Biryani
ORD10156,2023-05-21,May,5,Mumbai,Premium,Continental,1039.0,16.1,168.0,871.0,70.0,187.0,425.0,614.0,70.5,35.0,3.7,0,Yes,Continental
